tenderID,title,cpvs,complaints,complaints.status,questions,answer,documents,methodType,value,procuringEntity,status,region
UA-2017-02-02-000221-b,"Заміна вікон за адресою: Бульв.Верховної Ради, 27",454,0,0,0,0,4,belowThreshold,80000,39606435,complete,20
UA-2017-02-16-001380-c,цибуля,32,0,0,0,0,3,belowThreshold,3200,3189280,complete,358
UA-2017-02-17-000231-a,Картопля (різновиди картоплі),32,0,0,0,0,2,belowThreshold,63000,2144631,unsuccessful,814
UA-2017-02-03-000658-a,Природний газ,91,0,0,0,0,3,negotiation,508485.48,4051649,complete,921
UA-2017-02-02-001571-b,"Пара, гаряча вода та пов`язана продукція (теплова енергія)",93,0,0,0,0,2,negotiation,25459.6,38458316,complete,540
UA-2017-02-13-000835-a,грунт рослинний,142,0,0,0,0,11,aboveThresholdUA,2000000,4589645,complete,22
UA-2017-02-02-000246-c,молоко,155,0,0,0,0,3,belowThreshold,3000.01,3328379,complete,690
UA-2017-02-06-000640-a,постачання електричної енергії,93,0,0,0,0,1,negotiation,18998091.21,14312223,complete,611
UA-2017-02-09-000970-c,"Нафта і дистиляти (бензин, дизельне паливо)",91,0,0,0,0,5,aboveThresholdUA,255120.16,22672668,complete,628
UA-2017-02-20-000678-b,Електрична енергія,93,0,0,0,0,1,negotiation,1491299.85,20001757,complete,140
UA-2017-02-02-002661-b,теплова енергія,93,0,0,0,0,2,negotiation.quick,921000,2544187,cancelled,777
UA-2017-02-01-000802-a,Код ДК 021:2015 0913000-9-Нафта і дистиляти,91,0,0,0,0,4,aboveThresholdUA,1214500,2568319,complete,460
UA-2017-02-11-000042-c,"М""ясопродукти (ковбаса варена в/г, сосіски в/г,ковбаса домашня,салямі довбушівська,сервелат",151,0,0,0,0,4,belowThreshold,96950,4590978,complete,478
UA-2017-02-02-000514-b,Сир кисломолочний,155,0,0,0,0,5,belowThreshold,60000,5497361,complete,460
UA-2017-02-15-000388-c,Дрова твердих порід для опалювання,34,0,0,0,0,0,belowThreshold,30000,4543594,unsuccessful,111
UA-2017-02-01-003045-b,код ДК 021:2015 - 90440000-3-Послуги у сфері поводження з вигрібними ямами (вивезення рідких побутових відходів),904,0,0,0,0,5,aboveThresholdUA,369420,5498950,unsuccessful,723
UA-2017-02-27-000424-a,"Масло вершкове 72,5%",155,0,0,0,0,5,belowThreshold,68400,1987439,complete,514
UA-2017-02-06-000750-b,"код ДК 021:2015 - 15220000-6  - риба, рибне філе та інше м’ясо риби морожені (риба заморожена)",152,0,0,0,0,9,aboveThresholdUA,763630,5425307,complete,611
UA-2017-02-24-000042-b,"Заміна вікон за адресою: Просп. Соборності, 8/2 (1-4 під'їзди)",454,0,0,0,0,5,belowThreshold,90000,39606435,cancelled,20
UA-2017-02-21-002078-c,Блайзери з металевою застібкою,184,0,0,0,0,3,belowThreshold,19000,5446166,complete,20
UA-2017-02-16-001724-c,Постачання пари та гарячої води,93,0,0,0,0,1,negotiation.quick,1883050,8563665,complete,91
UA-2017-02-24-000208-b,"«Капітальний ремонт приміщень будівлі за адресою: м. Одеса, вул. Армійська, 9»",454,0,0,0,0,5,aboveThresholdUA,14698900,4056902,unsuccessful,650
